Date_Time,Q_recorded,Q_predicted_1,Q_diff,Q_sqr_diff,Q_var_rec,Q_sqr_var_rec
1993-01-06 20:50:00,0.005,0.015,0.009999999999999998,9.999999999999996e-05,-0.3875533333333333,0.15019758617777776
1993-01-06 20:55:00,0.005,0.018,0.012999999999999998,0.00016899999999999993,-0.3875533333333333,0.15019758617777776
1993-01-06 21:00:00,0.005,0.026,0.020999999999999998,0.00044099999999999993,-0.3875533333333333,0.15019758617777776
1993-01-06 21:05:00,0.005,0.033,0.028,0.0007840000000000001,-0.3875533333333333,0.15019758617777776
1993-01-06 21:10:00,0.005,0.035,0.030000000000000002,0.0009000000000000002,-0.3875533333333333,0.15019758617777776
1993-01-06 21:15:00,0.005,0.046,0.041,0.0016810000000000002,-0.3875533333333333,0.15019758617777776
1993-01-06 21:20:00,0.005,0.054,0.049,0.0024010000000000004,-0.3875533333333333,0.15019758617777776
1993-01-06 21:25:00,0.005,0.059,0.054,0.0029159999999999998,-0.3875533333333333,0.15019758617777776
1993-01-06 21:30:00,0.032,0.063,0.031,0.0009609999999999999,-0.3605533333333333,0.12999870617777773
1993-01-06 21:35:00,0.916,0.069,-0.847,0.717409,0.5234466666666667,0.2739964128444445
1993-01-06 21:40:00,0.972,0.108,-0.864,0.7464959999999999,0.5794466666666667,0.3357584395111111
1993-01-06 21:45:00,0.499,0.437,-0.062,0.0038439999999999998,0.10644666666666669,0.011330892844444449
1993-01-06 21:50:00,0.331,0.941,0.6099999999999999,0.3720999999999999,-0.06155333333333329,0.0037888128444444396
1993-01-06 21:55:00,1.096,0.909,-0.18700000000000006,0.03496900000000002,0.7034466666666668,0.4948372128444446
1993-01-06 22:00:00,8.768,0.703,-8.065000000000001,65.04422500000003,8.375446666666667,70.14810686617778
1993-01-06 22:05:00,9.516,0.783,-8.733,76.26528900000001,9.123446666666666,83.2372790795111
1993-01-06 22:10:00,5.597,3.929,-1.6680000000000006,2.782224000000002,5.2044466666666676,27.086265106177787
1993-01-06 22:15:00,3.898,6.196,2.2979999999999996,5.280803999999998,3.505446666666667,12.288156332844446
1993-01-06 22:20:00,3.01,4.336,1.3260000000000005,1.7582760000000013,2.6174466666666665,6.851027052844444
1993-01-06 22:25:00,2.054,3.537,1.483,2.1992890000000003,1.6614466666666665,2.7604050261777773
1993-01-06 22:30:00,2.18,2.895,0.7149999999999999,0.5112249999999998,1.7874466666666669,3.1949655861777786
1993-01-06 22:35:00,3.05,2.403,-0.6469999999999998,0.41860899999999973,2.6574466666666665,7.062022786177777
1993-01-06 22:40:00,1.917,2.011,0.09400000000000008,0.008836000000000016,1.5244466666666667,2.323937639511111
1993-01-06 22:45:00,1.236,1.767,0.5309999999999999,0.2819609999999999,0.8434466666666667,0.7114022795111111
1993-01-06 22:50:00,0.922,1.601,0.6789999999999999,0.4610409999999999,0.5294466666666667,0.28031377284444453
1993-01-06 22:55:00,0.749,1.343,0.594,0.352836,0.3564466666666667,0.12705422617777778
1993-01-06 23:00:00,0.61,1.051,0.44099999999999995,0.19448099999999996,0.21744666666666668,0.04728305284444445
1993-01-06 23:05:00,0.48,0.82,0.33999999999999997,0.11559999999999998,0.08744666666666667,0.007646919511111112
1993-01-06 23:10:00,0.357,0.656,0.29900000000000004,0.08940100000000002,-0.035553333333333326,0.0012640395111111105
1993-01-06 23:15:00,0.289,0.519,0.23000000000000004,0.052900000000000016,-0.10355333333333333,0.010723292844444444
1993-01-06 23:20:00,0.236,0.412,0.176,0.030975999999999997,-0.15655333333333332,0.024508946177777775
1993-01-06 23:25:00,0.201,0.334,0.133,0.017689000000000003,-0.1915533333333333,0.0366926795111111
1993-01-06 23:30:00,0.177,0.277,0.10000000000000003,0.010000000000000007,-0.21555333333333332,0.04646323951111111
1993-01-06 23:35:00,0.154,0.234,0.08000000000000002,0.006400000000000003,-0.2385533333333333,0.056907692844444434
1993-01-06 23:40:00,0.127,0.202,0.07500000000000001,0.0056250000000000015,-0.2655533333333333,0.07051857284444443
1993-01-06 23:45:00,0.11,0.176,0.06599999999999999,0.004355999999999999,-0.2825533333333333,0.07983638617777777
1993-01-06 23:50:00,0.096,0.154,0.057999999999999996,0.0033639999999999994,-0.29655333333333334,0.08794387951111111
1993-01-06 23:55:00,0.08,0.136,0.05600000000000001,0.0031360000000000008,-0.3125533333333333,0.09768958617777776
1993-01-07 00:00:00,0.069,0.121,0.05199999999999999,0.002703999999999999,-0.3235533333333333,0.10468675951111109
1993-01-07 00:05:00,0.061,0.107,0.046,0.002116,-0.3315533333333333,0.10992761284444443
1993-01-07 00:10:00,0.054,0.094,0.04,0.0016,-0.3385533333333333,0.1146183595111111
1993-01-07 00:15:00,0.048,0.082,0.034,0.0011560000000000001,-0.3445533333333333,0.1187169995111111
1993-01-07 00:20:00,0.042,0.071,0.02899999999999999,0.0008409999999999995,-0.35055333333333333,0.1228876395111111
1993-01-07 00:25:00,0.041,0.061,0.019999999999999997,0.00039999999999999986,-0.35155333333333333,0.12358974617777778
1993-01-07 00:30:00,0.039,0.052,0.012999999999999998,0.00016899999999999993,-0.35355333333333333,0.1249999595111111
1993-01-07 00:35:00,0.038,0.045,0.006999999999999999,4.899999999999999e-05,-0.35455333333333333,0.12570806617777777
1993-01-07 00:40:00,0.036,0.039,0.0030000000000000027,9.000000000000015e-06,-0.35655333333333333,0.1271302795111111
1993-01-07 00:45:00,0.035,0.033,-0.0020000000000000018,4.0000000000000074e-06,-0.3575533333333333,0.12784438617777774
1993-01-07 00:50:00,0.035,0.029,-0.006000000000000002,3.600000000000002e-05,-0.3575533333333333,0.12784438617777774
1993-01-07 00:55:00,0.035,0.025,-0.010000000000000002,0.00010000000000000005,-0.3575533333333333,0.12784438617777774
1993-01-07 01:00:00,0.035,0.022,-0.013000000000000005,0.00016900000000000012,-0.3575533333333333,0.12784438617777774
1993-01-07 01:05:00,0.035,0.019,-0.016000000000000004,0.0002560000000000001,-0.3575533333333333,0.12784438617777774
1993-01-07 01:10:00,0.035,0.017,-0.018000000000000002,0.00032400000000000007,-0.3575533333333333,0.12784438617777774
1993-01-07 01:15:00,0.035,0.015,-0.020000000000000004,0.0004000000000000002,-0.3575533333333333,0.12784438617777774
1993-01-07 01:20:00,0.035,0.013,-0.022000000000000006,0.00048400000000000027,-0.3575533333333333,0.12784438617777774
