Date_Time,Q_recorded,Q_predicted_4,Q_var_rec,Q_var_pre,Q_sqr_var_rec,Q_sqr_var_pre,Q_prod_var_rec_pre
1993-01-06 20:45:00,0.005,0.021,-0.3875533333333333,-0.43831999999999993,0.15019758617777776,0.19212442239999994,0.16987237706666664
1993-01-06 20:50:00,0.005,0.022,-0.3875533333333333,-0.43731999999999993,0.15019758617777776,0.19124878239999993,0.1694848237333333
1993-01-06 20:55:00,0.005,0.026,-0.3875533333333333,-0.4333199999999999,0.15019758617777776,0.18776622239999993,0.16793461039999996
1993-01-06 21:00:00,0.005,0.039,-0.3875533333333333,-0.42031999999999997,0.15019758617777776,0.17666890239999997,0.16289641706666663
1993-01-06 21:05:00,0.005,0.053,-0.3875533333333333,-0.40631999999999996,0.15019758617777776,0.16509594239999997,0.15747067039999998
1993-01-06 21:10:00,0.005,0.058,-0.3875533333333333,-0.40131999999999995,0.15019758617777776,0.16105774239999995,0.1555329037333333
1993-01-06 21:15:00,0.005,0.069,-0.3875533333333333,-0.39031999999999994,0.15019758617777776,0.15234970239999995,0.15126981706666665
1993-01-06 21:20:00,0.005,0.075,-0.3875533333333333,-0.38431999999999994,0.15019758617777776,0.14770186239999997,0.14894449706666663
1993-01-06 21:25:00,0.005,0.081,-0.3875533333333333,-0.37831999999999993,0.15019758617777776,0.14312602239999994,0.14661917706666663
1993-01-06 21:30:00,0.032,0.088,-0.3605533333333333,-0.37132,0.12999870617777773,0.1378785424,0.13388066373333332
1993-01-06 21:35:00,0.916,0.098,0.5234466666666667,-0.36132,0.2739964128444445,0.1305521424,-0.1891317496
1993-01-06 21:40:00,0.972,0.165,0.5794466666666667,-0.2943199999999999,0.3357584395111111,0.08662426239999994,-0.1705427429333333
1993-01-06 21:45:00,0.499,0.6,0.10644666666666669,0.14068000000000003,0.011330892844444449,0.019790862400000008,0.014974917066666673
1993-01-06 21:50:00,0.331,1.363,-0.06155333333333329,0.90368,0.0037888128444444396,0.8166375424000001,-0.05562451626666663
1993-01-06 21:55:00,1.096,1.28,0.7034466666666668,0.8206800000000001,0.4948372128444446,0.6735156624000002,0.5773046104000001
1993-01-06 22:00:00,8.768,1.018,8.375446666666667,0.5586800000000001,70.14810686617778,0.31212334240000006,4.679194543733334
1993-01-06 22:05:00,9.516,1.154,9.123446666666666,0.69468,83.2372790795111,0.48258030239999994,6.337875930399999
1993-01-06 22:10:00,5.597,5.373,5.2044466666666676,4.91368,27.086265106177787,24.1442511424,25.57298549706667
