Date_Time,Q_recorded,Q_predicted_3,Q_abs_diff,Q_rel_diff,Q_diff,Q_sqr_diff,Q_sqr_rel_diff,Q_var_rec,Q_sqr_var_rec,Q_var_pre,Q_sqr_var_pre,Q_prod_var_rec_pre,delta_time,Q_rec_lft,Q_rec_rgt,Q_pre_lft,Q_pre_rgt,Q_ave_rec,Q_ave_pre
1997-10-07 17:27:00,0.57,0.656,0.08600000000000008,0.15087719298245628,0.08600000000000008,0.007396000000000013,0.022763927362265353,-0.09330472103004295,0.008705770966494138,-0.033673819742489175,0.0011339261360496537,0.003141926357088905,300.0,0.671,0.57,0.818,0.656,186.15,221.1
1997-10-07 17:32:00,0.5,0.53,0.030000000000000027,0.06000000000000005,0.030000000000000027,0.0009000000000000016,0.0036000000000000064,-0.1633047210300429,0.026668431910700136,-0.15967381974248918,0.025495728711156927,0.02607548858884855,300.0,0.57,0.5,0.656,0.53,160.49999999999997,177.89999999999998
1997-10-07 17:37:00,0.432,0.435,0.0030000000000000027,0.006944444444444451,0.0030000000000000027,9.000000000000015e-06,4.82253086419754e-05,-0.2313047210300429,0.05350187397078597,-0.2546738197424892,0.06485875446222988,0.0589072568291919,300.0,0.5,0.432,0.53,0.435,139.79999999999998,144.75
1997-10-07 17:42:00,0.376,0.363,0.013000000000000012,0.03457446808510641,-0.013000000000000012,0.0001690000000000003,0.0011953938433680417,-0.2873047210300429,0.08254400272615077,-0.3266738197424892,0.10671578450514833,0.09385493064893438,300.0,0.432,0.376,0.435,0.363,121.2,119.7
1997-10-07 17:47:00,0.336,0.305,0.031000000000000028,0.09226190476190484,-0.031000000000000028,0.0009610000000000017,0.008512259070294799,-0.3273047210300429,0.10712838040855419,-0.3846738197424892,0.14797394759527707,0.12590555725837643,300.0,0.376,0.336,0.363,0.305,106.8,100.19999999999999
1997-10-07 17:52:00,0.317,0.26,0.056999999999999995,0.17981072555205047,-0.056999999999999995,0.0032489999999999993,0.032331897023554816,-0.3463047210300429,0.11992695980769584,-0.4296738197424892,0.1846195913721011,0.14879807227983566,300.0,0.336,0.317,0.305,0.26,97.95,84.74999999999999
1997-10-07 17:57:00,0.297,0.222,0.07499999999999998,0.2525252525252525,-0.07499999999999998,0.005624999999999997,0.06376900316294254,-0.3663047210300429,0.13417914864889757,-0.4676738197424892,0.2187188016725303,0.1713111280738271,300.0,0.317,0.297,0.26,0.222,92.1,72.3
1997-10-07 18:02:00,0.276,0.192,0.08400000000000002,0.30434782608695654,-0.08400000000000002,0.007056000000000003,0.09262759924385634,-0.3873047210300429,0.15000494693215935,-0.4976738197424892,0.24767923085707963,0.19275141991932063,300.0,0.297,0.276,0.222,0.192,85.94999999999999,62.10000000000001
1997-10-07 18:07:00,0.261,0.167,0.094,0.36015325670498083,-0.094,0.008836,0.12971036831520383,-0.4023047210300429,0.16184908856306063,-0.5226738197424892,0.27318792184420404,0.21027414524120902,300.0,0.276,0.261,0.192,0.167,80.55000000000001,53.849999999999994
1997-10-07 18:12:00,0.24,0.146,0.094,0.39166666666666666,-0.094,0.008836,0.15340277777777778,-0.4233047210300429,0.17918688684632245,-0.5436738197424892,0.2955812222733886,0.23013969459743222,300.0,0.261,0.24,0.167,0.146,75.15,46.95
