t_min,t_sec,t_rel,y,q,Q,V
133.0,7980.0,7881.369863013699,0.0007621678317880181,1.0384893752406054e-05,0.0041539575009624215,2711.876316064725
134.0,8040.0,7941.369863013699,0.0007469693708940719,1.0042049467403763e-05,0.004016819786961505,2712.1214393833625
135.0,8100.0,8001.369863013699,0.0007322656945790349,9.714762339355597e-06,0.003885904935742239,2712.358521125044
136.0,8160.0,8061.369863013699,0.0007180347274172147,9.402141468438646e-06,0.003760856587375458,2712.5879239707374
137.0,8220.0,8121.369863013699,0.0007042556329339933,9.103357151297351e-06,0.0036413428605189405,2712.8099899541744
138.0,8280.0,8181.369863013699,0.0006909087305033176,8.817636006238872e-06,0.003527054402495549,2713.025041872065
139.0,8340.0,8241.369863013699,0.0006779754186826891,8.544256538020822e-06,0.0034177026152083286,2713.233384582596
140.0,8400.0,8301.369863013699,0.0006654381044237949,8.282545098162198e-06,0.003313018039264879,2713.43530620223
141.0,8460.0,8361.369863013699,0.0006532801376511264,8.031872201550536e-06,0.0032127488806202144,2713.6310792098266
142.0,8520.0,8421.369863013699,0.0006414857507494633,7.79164916438431e-06,0.0031166596657537238,2713.820961466218
143.0,8580.0,8481.369863013699,0.0006300400025445673,7.561325032252586e-06,0.0030245300129010345,2714.0051971565777
144.0,8640.0,8541.369863013699,0.0006189287264004054,7.3403837704775e-06,0.002936153508191,2714.1840176622104
145.0,8700.0,8601.369863013699,0.000608138482091219,7.128341691784808e-06,0.002851336676713923,2714.3576423677578
146.0,8760.0,8661.369863013699,0.0005976565111382006,6.924745098970871e-06,0.0027698980395883485,2714.526279409247
147.0,8820.0,8721.369863013699,0.0005874706953288121,6.729168122542397e-06,0.0026916672490169585,2714.690126367905
148.0,8880.0,8781.369863013699,0.0005775695181622608,6.541210735354555e-06,0.002616484294141822,2714.8493709142
149.0,8940.0,8841.369863013699,0.0005679420289875734,6.360496928093827e-06,0.0025441987712375306,2715.004191406161
150.0,9000.0,8901.369863013699,0.0005585778096214393,6.186673031073218e-06,0.0024746692124292874,2715.1547574456713
151.0,9060.0,8961.369863013699,0.0005494669432516683,6.019406169250936e-06,0.0024077624677003744,2715.301230396075
152.0,9120.0,9021.369863013699,0.0005405999854490121,5.85838283867183e-06,0.002343353135468732,2715.4437638641703
153.0,9180.0,9081.369863013699,0.000531967937125386,5.703307593680883e-06,0.0022813230374723534,2715.5825041493586
154.0,9240.0,9141.369863013699,0.000523562219290363,5.553901835286275e-06,0.00222156073411451,2715.717590662506
155.0,9300.0,9201.369863013699,0.0005153746494703606,5.409902691969579e-06,0.0021639610767878316,2715.849156316833
