t_min,t_sec,dt,i_prom,o_prom,y,Q
144.0,8640.0,180.0,0.0,3.891619515737854,0.006225087287703215,0.021065692597510382
147.0,8820.0,180.0,0.0,3.698879891983617,0.0060401432931040345,0.02003297286897425
150.0,9000.0,180.0,0.0,3.5192474353635457,0.0058641809213358575,0.019069776412842923
153.0,9180.0,180.0,0.0,3.3515977502024414,0.0056966010338257355,0.01817019858940642
156.0,9360.0,180.0,0.0,3.1949221481129935,0.0055368549264200855,0.017328936389626837
159.0,9540.0,180.0,0.0,3.0483138320237,0.005384439234818901,0.016541217299525384
162.0,9720.0,180.0,0.0,2.9109559496868442,0.005238891437334559,0.015802737696995105
165.0,9900.0,180.0,0.0,2.782111235006057,0.005099785875584256,0.015109609358627752
168.0,10080.0,180.0,0.0,2.6611130021326885,0.004966730225477622,0.014458312887291009
171.0,10260.0,180.0,0.0,2.547357295509559,0.004839362360702144,0.0138456570628152
174.0,10440.0,180.0,0.0,2.4402960305124535,0.004717347559176521,0.013268743276212061
177.0,10620.0,180.0,0.0,2.339430985340682,0.004600376009909487,0.012724934338684407
180.0,10800.0,180.0,0.0,2.2443085263629534,0.004488160583591339,0.01221182706534841
183.0,10980.0,180.0,0.0,2.1545149670531325,0.004380434835238683,0.011727228124130842
186.0,11160.0,180.0,0.0,2.0696724756099747,0.0042769512114581845,0.01126913271597999
189.0,11340.0,180.0,0.0,1.9894354588758207,0.004177479438514394,0.010835705715973575
192.0,11520.0,180.0,0.0,1.9134873606802847,0.004081805070480379,0.010425264958251811
195.0,11700.0,180.0,0.0,1.8415378215842197,0.003989728179401168,0.010036266392683964
198.0,11880.0,180.0,0.0,1.7733201544702455,0.003901062171677656,0.00966729087920765
201.0,12060.0,180.0,0.0,1.7085890967505408,0.0038156327168401287,0.009317032418020583
204.0,12240.0,180.0,0.0,1.6471188053304358,0.003733276776573607,0.008984287641206484
207.0,12420.0,180.0,0.0,1.5887010650337787,0.003653841723321918,0.008667946414724393
210.0,12600.0,180.0,0.0,1.5331436850920483,0.0035771845390673157,0.008366983419631702
213.0,12780.0,180.0,0.0,1.4802690616303102,0.0035031710859858003,0.008080450598482855
216.0,12960.0,180.0,0.0,1.4299128869378879,0.003431675441638906,0.007807470367493677
219.0,13140.0,180.0,0.0,1.3819229887636506,0.0033625792922007233,0.007547229507657994
222.0,13320.0,180.0,0.0,1.3361582849864913,0.0032957713779513988,0.007298973658858574
225.0,13500.0,180.0,0.0,1.2924878408322955,0.0032311469859097838,0.007062002350389156
228.0,13680.0,180.0,0.0,1.2507900173825022,0.0031686074850406586,0.006835664509416424
231.0,13860.0,180.0,0.0,1.2109517014824769,0.0031080598999665347,0.006619354395944428
234.0,14040.0,180.0,0.0,1.1728676083408545,0.003049416519549492,0.006412507918953957
237.0,14220.0,180.0,0.0,1.136439649139504,0.002992594537092517,0.006214599293707197
240.0,14400.0,180.0,0.0,1.1015763568696593,0.002937515719249034,0.006025138004844571
243.0,14580.0,180.0,0.0,1.0681923643915583,0.002884106101029456,0.005843666043950521
246.0,14760.0,180.0,0.0,1.0362079293983049,0.0028322957045595408,0.005669755393808421
249.0,14940.0,180.0,0.0,1.0055485015631005,0.0027820182794813858,0.005503005734670472
252.0,15120.0,180.0,0.0,0.976144327673864,0.0027332110630976926,0.005343042350594684
255.0,15300.0,180.0,0.0,0.9479300910203672,0.002685814558546674,0.005189514216298286
258.0,15480.0,180.0,0.0,0.9208445817047622,0.002639772329461436,0.005042092247087961
261.0,15660.0,180.0,0.0,0.8948303949039498,0.0025950308097162384,0.004900467696289258
